Rank,Company,City,Country,Funding,Industry,Employees,Revenue,Growth %
250,Morongo Casino ...,Cabazon,USA,,Casinos,922,$35M,4%
251,AiDash,San Franci...,USA,$143M,AI,381,$67.7M,6%
252,Perpetua Resour...,Donnelly,USA,,Mining,66,$14.6M,4%
253,Rokt,New York C...,USA,$487M,Martech,612,$108.8M,7%
254,MoEngage,San Franci...,USA,$182M,Martech,820,$164.2M,0%
255,DataBank,Dallas,USA,$191M,Tech Servi...,732,$151.8M,9%
256,0x,San Franci...,USA,$85M,Fintech,253,$35.4M,28%
257,Mysten Labs,San Franci...,USA,$336M,Fintech,220,$30.7M,28%
258,Phantom Wallet,San Franci...,USA,$118M,Fintech,197,$27.5M,27%
259,Nalu Medical,San Diego,USA,,Medical Eq...,235,$59M,24%
260,SiMa.ai,Silicon Va...,USA,$270M,Tech Servi...,187,$29.1M,22%
261,yulife,London,UK,$211M,Insurance,327,$91.4M,7%
262,KAFENE,New York C...,USA,,Finance,128,$26.9M,22%
263,Retool,San Franci...,USA,$135M,DevOps,383,$68.1M,5%
264,WK Kellogg Co,Battle Cre...,USA,,Food,960,$362.9M,685%
265,Boston Metal,Boston,USA,$418M,Mining,236,$62.2M,77%
266,Teal,New York C...,USA,,HRTech,211,$32.5M,306%
267,Convergint Tech...,Albany,USA,$66.7M,Security,41,$493.3M,117%
268,Armorcode,San Franci...,USA,,Tech Servi...,148,$23.6M,73%
269,Shenandoah Grow...,Harrisonbu...,USA,,Farming,141,$15M,1%
270,Cribl,San Franci...,USA,$400M,Analytics,785,$100M,32%
271,SK Capital Part...,New York C...,USA,,Investment...,104,$13.2M,13%
272,Russell Innovat...,Atlanta,,,Consulting,49,$8.2M,24%
273,SageWest Health...,Lander,USA,,Hospital/H...,134,$36.2M,13%
274,Agtonomy,,,,Industrial,62,$19.7M,12%
275,Antora Energy,East Bay,USA,,Environmen...,112,$23.5M,96%
276,NEXAMP,Boston,USA,$1.27B,Environmen...,543,$102.7M,14%
277,Infleqtion,Boulder,USA,,Software,36,$4.6M,84%
278,Anyscale,San Franci...,USA,$260M,AI,340,$60.5M,195%
279,Weee!,Silicon Va...,USA,$864M,DeliveryTe...,733,$406M,16%
280,LanzaTech,Chicago,USA,$869M,Environmen...,435,$116M,8%
281,Caesars Enterta...,Winchester,USA,$1.7B,Hospitalit...,41,$8.4B,129%
282,Kate Farms,Santa Barb...,USA,$183M,Food,254,$73.7M,3%
283,Convergint Tech...,,USA,,Security,543,$118.1M,21%
284,Burker King,Miami,USA,,,48,$0,12%
285,Gravie,Minneapoli...,USA,$342M,Digital He...,424,$75.4M,47%
286,Doodles,Vancouver,CAN,$54M,Fintech,76,$9.9M,29%
287,ClassDojo,San Franci...,USA,$54M,EdTech,323,$57.4M,14%
288,Capital On Tap,London,UK,$1.8B,Fintech,563,$93M,16%
289,Tailscale,Toronto,CAN,$115M,Tech Servi...,184,$27.2M,38%
290,Atom bank,Raleigh Du...,UK,$852M,Fintech,526,$86.8M,14%
291,Nationwide Dron...,Lafayette,USA,,Tech Servi...,64,$8.4M,55%
292,EdgeConneX,Washington...,USA,,Telecom,353,$143.4M,9%
293,Papa John\'s,Louisville,USA,$310.6M,Restaurant...,27,$2B,30%
294,Capital Rx,New York C...,USA,$97M,Hospital/H...,521,$178.7M,24%
295,Seven Eleven Fo...,Irving,USA,,Environmen...,584,$153.3M,24%
296,Xage Security,Silicon Va...,USA,$80M,IT Securit...,118,$24.1M,49%
297,Ironclad,San Franci...,USA,$333M,Legaltech,601,$102.9M,2%
298,Beta Technologi...,South Burl...,USA,$886M,Aviation,863,$297.2M,32%
299,CareBridge,Nashville,USA,$140M,Hospital/H...,401,$135.3M,21%
300,Carbon Capture,Los Angele...,,$115M,Environmen...,67,$12.2M,45%
301,Connecteam,New York C...,USA,$160M,Edtech,311,$57.3M,52%
302,Hydrosat,Washington...,USA,,Foodtech,64,$9.8M,16%
303,Ara Partners,Houston,USA,,Investment...,94,$21.3M,30%
304,Eikon Therapeut...,East Bay,USA,$668M,3D,365,$78.8M,28%
305,Anyone AI,,USA,,E-Learning...,541,$0,416%
306,RED 6,Orlando,USA,,Defense,109,$33.6M,28%
307,Cortex,San Franci...,USA,$52.7M,SaaS,122,$17M,37%
308,Fervo,Houston,USA,,Environmen...,109,$22.9M,67%
309,Electra.aero,Washington...,,$4.4M,Aviation,37,$6.9M,67%
310,Aeroseal,Dayton,USA,,Engineerin...,221,$24.3M,10%
311,Jasper,Austin,USA,$143M,AI,794,$159M,76%
312,O2B Kids,Gainesvill...,USA,,Edtech,332,$59M,21%
313,Nourish,,,$44M,Hospital/H...,346,$0,220%
314,VML MAP,,Denmark,,Advertisin...,692,$0,432%
315,Subway Franchis...,Milford,USA,,Restaurant...,545,$119.2M,36%
316,Ampla,New York C...,USA,$45.1M,Finance,128,$26.9M,6%
317,Celestia Labs,Vaduz,Liechtenstein,$104M,Fintech,64,$7.2M,35%
318,Lendable,London,UK,$289M,Fintech,368,$60.8M,46%
319,TRM Labs,San Franci...,USA,$150M,Fintech,332,$54.8M,17%
320,Bobbie,San Franci...,USA,,Food,259,$76.9M,34%
321,Kiavi,San Franci...,USA,,Finance,470,$123.4M,3%
322,Aira,Stockholm,SWE,,Services f...,399,$0,369%
323,Kick,Melbourne,aus,,Entertainm...,461,$118.1M,387%
324,Intersect Power,Portland,USA,$609M,Environmen...,237,$53.5M,26%
325,Commonwealth Fu...,Boston,USA,$2B,Research,667,$86.4M,35%
326,Circa Resort an...,,,,Hospitalit...,598,$189.9M,8%
327,Traceable AI,San Franci...,USA,$80.2M,Software,214,$36.8M,24%
328,Wonder,Los Angele...,USA,$1.16B,Food,879,$339.4M,7%
329,DRONAMICS,London,UK,,Aviation,153,$41.4M,22%
330,Honeycomb.io,San Franci...,USA,$4M,Tech Servi...,229,$35.7M,16%
331,Cornish Lithium...,Penryn,UK,$17M,Mining,81,$19.8M,18%
332,Oxford Quantum ...,Reading,UK,,Tech Servi...,99,$14.4M,19%
333,ZeroEyes,Philadelph...,USA,$53.8M,Tech Servi...,150,$23.4M,18%
334,Redwood Materia...,Carson Cit...,USA,$2.07B,Environmen...,646,$172.3M,24%
335,Streamlit,San Franci...,USA,$62M,AI,90,$12.6M,87%
336,CAST.AI,Miami,USA,$78.5M,Tech Servi...,180,$28.1M,101%
337,Enfinity Global,Madrid,Spain,,Environmen...,313,$82.2M,28%
338,Augustinus Bade...,London,UK,$25M,Cosmetics,174,$15M,16%
339,Lumu Technologi...,Miami,USA,$39.5M,IT Securit...,139,$28.4M,15%
340,Jetty,New York C...,USA,$65.5M,Fintech,153,$21.4M,11%
341,Dcbel,,,,Environmen...,102,$21.4M,13%
342,Hashflow,Los Angele...,USA,$28.2M,Finance,27,$2.8M,37%
343,Plum Fintech,London,UK,,Fintech,257,$36.8M,14%
344,Ramp Network,London,UK,$810M,Fintech,258,$36.1M,13%
345,XRHealth,Brookline,,$40M,Digital He...,97,$13.6M,33%
346,Insigneo Financ...,Miami,USA,,Finance,464,$121.8M,10%
347,Zluri,San Fransc...,USA,$32.5M,Tech Servi...,282,$44M,98%
348,Gorgias,San Franci...,USA,$74.7M,Tech Servi...,384,$70.7M,22%
349,Dura Software,San Antoni...,USA,$11.9M,Tech Servi...,70,$8.8M,68%
350,Chainguard,Seattle,USA,$116M,Tech Servi...,170,$25.2M,100%
351,Alto Neuroscien...,Silicon Va...,USA,,Analytics,71,$8.9M,10%
352,Kumo.AI,San Franci...,USA,,AI,57,$6.9M,29%
353,Goalsetter,New York C...,USA,,BabyTech,78,$12.5M,7%
354,Nexus Circular,Atlanta,,,Environmen...,74,$13.5M,49%
355,Bluewave Techno...,San Clemen...,USA,,Telecom,155,$18.6M,150%
356,Battery Storage,East Bay,USA,,Fintech,106,$13.8M,36%
357,GameOn,Vancouver,CAN,,Entertainm...,74,$13.7M,5%
358,Skyports,London,UK,,Aviation,63,$13.9M,4%
359,Crisp Data Plat...,New York C...,USA,,Analytics,163,$25.1M,34%
360,Pulley,San Franci...,USA,$50.1M,Tech Servi...,81,$11.7M,4%
361,Brightline,Silicon Va...,USA,$212M,Babytech,273,$47M,4%
362,CrowdProperty,Birmingham,UK,$6.42M,Real Estat...,61,$8M,4%
363,Jurny,Los Angele...,USA,,Hospitalit...,62,$14.2M,4%
364,EnergyX,Austin,USA,,Environmen...,94,$19.7M,32%
365,Observe,San Franci...,USA,,Tech Servi...,211,$33.7M,32%
366,LanzaJet,Chicago,USA,,Environmen...,115,$24.1M,90%
367,Kamar Pelajar,Stockholm,SWE,,Travel Arr...,467,$0,358%
368,FundGuard,New York C...,USA,$156M,Fintech,120,$15.6M,30%
369,Patriot Growth ...,Philadelph...,USA,,Insurance,193,$45.6M,16%
370,Electric Era,Seattle,USA,,Engineerin...,49,$3.9M,105%
371,Elitch Gardens ...,Denver,USA,,Entertainm...,358,$91.7M,11%
372,Snowden Lane Pa...,New York C...,USA,,Finance,162,$37.4M,13%
373,Lilac Solutions,East Bay,USA,$318M,Mining,261,$68.7M,28%
374,BlocPower,New York C...,USA,$250M,Environmen...,168,$37.9M,26%
375,Headfone,Bangalore,IND,,Tech Servi...,226,$18M,325%
